#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
6.640811,14,32.325438
-13.02809,15,32.356969
-18.308946,12,32.39822
-39.082176,11,32.419243
-2.191808,14,32.460311
-36.371254,10,32.479054
-22.561341,20,32.517939
-32.20538,15,32.5615
-5.839745,15,32.588409
-34.297093,13,32.629729
-13.587393,12,32.654177
-15.224817,12,32.68047
-9.512699,16,32.709731
-40.766733,12,32.748073
-33.222614,15,32.793845
-9.526225,13,32.824325
-18.809578,14,32.854849
-35.047515,9,32.870922
-3.540624,15,32.905103
-38.738126,15,32.950344
-25.678311,16,32.988573
-30.311476,8,33.003675
-33.608422,13,33.034632
-29.693062,16,33.083832
-36.394792,9,33.100451
-42.109265,16,33.138185
-20.956759,12,33.163198
-48.505492,17,33.196163
-36.914392,13,33.219965
-16.770206,15,33.248089
-14.754563,17,33.28033
-10.000342,11,33.322128
-38.210136,10,33.355229
-33.767593,16,33.386619
-28.843518,13,33.411705
2.456814,16,33.443897
-15.718777,14,33.474221
-12.53986,16,33.517299
-33.860867,13,33.560054
-31.266915,15,33.589005
-17.571667,13,33.613473
-40.638143,14,33.651471
-33.543239,11,33.69322
-45.050638,16,34.557939
-9.623442,15,34.586402
-31.00922,14,34.625831
-35.268572,14,34.663382
-27.015574,14,34.693353
-32.421855,18,34.727409
-19.085507,13,34.756172
-29.846971,17,34.791276
-17.932872,14,34.822894
-38.221218,12,34.851249
-46.101162,14,34.880553
-42.008662,13,34.914046
-50.548893,11,34.946607
-29.223067,9,34.972504
-41.124837,18,35.015021
-42.647712,15,35.056746
-15.267321,12,35.101403
-13.770845,19,35.152026
-24.744752,18,35.188422
-30.777015,15,35.218623
-3.158197,16,35.256254
-39.3948,14,35.286476
-8.068371,18,35.350047
-29.096193,19,35.389471
-49.610919,13,35.414392
-10.027778,14,35.448413
-38.517954,14,35.490098
5.176022,13,35.525352
-10.334021,14,35.553784
-44.193283,14,35.579322
-21.860808,12,35.606943
-26.425575,13,35.648343
-35.461113,10,35.666674
-39.790967,11,35.6982
-41.876409,14,35.726428
-18.39643,13,35.752698
-22.824461,12,35.774759
-40.48637,12,35.814089
-9.527352,16,35.861976
-16.041289,11,35.881537
-40.960122,10,35.902968
-25.840516,15,35.934718
-4.021233,17,35.976339
-43.035997,14,36.020584
-16.908475,12,36.04213
-3.654252,17,36.078011
-43.648786,16,36.111107
-31.852796,11,36.140635
-32.566829,12,36.161855
-32.414176,13,36.206375
-24.456151,16,36.239468
-0.600456,15,36.277498
-36.055208,14,36.327437
-31.673878,12,36.349161
-19.44933,12,36.373447
-33.213765,11,36.395232
-2.677945,16,36.425974
-26.094806,16,36.460157
-22.012468,21,36.508281
-28.029841,16,36.5599
-33.012919,12,36.582201
5.006712,17,36.616528
-30.00261,14,36.644434
-26.748543,13,36.675118
-23.39909,12,36.696837
-28.868857,13,36.74572
-42.391709,10,36.764986
-14.388555,14,36.791194
-28.310298,12,36.812784
-23.021174,11,36.835743
-33.358397,10,36.860141
-28.753304,12,36.882366
-32.383334,12,36.907467
-12.509185,13,36.933825
-41.495402,22,36.978542
-24.595942,11,36.998477
-34.161546,9,37.031447
-23.891131,14,37.070371
-12.370935,13,37.096922
-19.967316,13,37.1215
-39.439953,12,37.144226
-5.756048,15,37.188841
-10.036498,15,37.235655
-24.694769,15,37.267494
-17.173063,12,37.288924
-16.645863,14,37.315608
-30.777286,13,37.3486
-23.446959,11,37.368448
4.278425,18,37.425976
-40.436216,15,37.456876
-0.436455,16,37.492614
-25.680901,10,37.514937
-25.324863,18,37.580467
-1.305898,15,37.611115
-26.848455,11,37.631771
-29.705644,11,37.681975
-17.941806,13,37.711087
-26.254567,13,37.734826
-29.92792,8,37.750623
-41.174259,10,37.769226
-13.830476,15,37.823164
-30.759366,13,37.855453
-3.968271,16,37.885523
-32.013399,12,37.907689
-18.276343,13,37.937117
-35.38083,10,37.959107
-25.154772,16,38.007218
-28.896634,16,38.048928
-12.025082,17,38.083667
-10.624831,12,38.105279
-18.741783,12,38.128524
-42.344578,18,38.177258
-37.93673,11,38.214397
-29.255249,10,38.233135
-41.647333,14,38.259921
-4.107204,17,38.305455
-30.994086,11,38.326069
-33.929743,16,38.374446
-12.531009,11,38.398297
-34.625113,12,38.423831
-30.249021,13,38.44844
-16.04734,15,38.494167
-25.126257,15,38.531396
-17.228475,12,38.559517
-5.797743,15,38.593138
-17.546568,12,38.614706
-25.690054,18,38.661989
-19.12179,13,38.69835
-34.235937,15,38.727004
-45.461446,19,38.764584
-22.29095,12,38.805686
-32.337095,11,38.827304
-24.106928,13,38.861126
-26.089145,12,38.887739
-17.095617,13,38.91078
-19.125378,11,38.937388
-19.512502,18,38.985858
-35.792907,12,39.022878
-21.602358,16,39.055553
-34.255687,12,39.077286
-21.982343,13,39.103601
-37.105125,16,39.147816
-30.193161,11,39.188715
-5.846878,12,39.211061
-7.107231,13,39.247385
-23.733801,17,39.285403
-32.456233,12,40.1897
-14.337511,15,40.217442
-15.840272,13,40.248212
-31.5849,13,40.277662
-7.51863,17,40.328075
-32.542073,11,40.359534
-28.125349,14,40.398503
-32.858477,11,40.42006
-18.856244,12,40.449367
-27.043389,9,40.46729
-26.50658,17,40.502687
-0.315446,16,40.544091
-32.932464,17,40.586789
-51.300924,11,40.61078
-5.825511,15,40.658718
-38.838348,12,40.684803
-8.736686,14,40.71551
-34.902032,11,40.736582
-13.391564,12,40.766346
-25.168058,19,40.804566
-39.999663,10,40.849005
-11.542789,14,40.882699
-36.536462,9,40.901083
-16.886707,12,40.929228
-25.444467,13,40.980704
-42.267575,11,41.033413
-41.005414,9,41.051196
-23.619538,12,41.07718
-27.178097,14,41.109689
-14.084418,14,41.168276
-30.799694,13,41.192266
-40.241107,12,41.21651
-26.188414,16,41.262078
-60.623441,19,41.300848
-13.536723,18,41.350664
